x	y	z	RNA Polymerase II Promoter Escape
237	300	30	1
240	300	30	1
246	300	30	2
223	301	30	1
225	301	30	1
230	301	30	1
238	301	30	1
239	301	30	1
240	301	30	1
243	301	30	1
248	301	30	1
221	302	30	2
223	302	30	1
231	302	30	2
248	302	30	1
217	303	30	2
238	303	30	2
240	303	30	1
220	304	30	1
236	304	30	1
240	304	30	1
223	305	30	1
233	305	30	1
240	305	30	1
236	306	30	2
226	250	31	1
229	251	31	1
235	251	31	3
232	253	31	1
233	253	31	2
237	253	31	1
226	254	31	1
227	254	31	1
235	254	31	2
238	254	31	1
191	255	31	1
195	255	31	1
230	255	31	1
234	255	31	1
236	255	31	2
240	255	31	1
236	257	31	1
237	257	31	1
238	257	31	3
239	257	31	1
240	257	31	1
205	258	31	3
216	258	31	1
227	258	31	1
231	258	31	2
233	258	31	1
234	258	31	1
237	258	31	1
239	258	31	1
240	258	31	2
188	259	31	1
206	259	31	1
226	259	31	1
237	259	31	1
186	260	31	2
191	260	31	1
195	260	31	1
216	260	31	2
228	260	31	2
235	260	31	1
240	260	31	1
246	260	31	1
184	261	31	1
187	261	31	1
195	261	31	1
210	261	31	3
213	261	31	1
226	261	31	1
230	261	31	1
234	261	31	2
239	261	31	1
243	261	31	1
246	261	31	1
211	262	31	2
217	262	31	1
218	262	31	1
222	262	31	1
230	262	31	1
233	262	31	2
236	262	31	1
238	262	31	1
246	262	31	1
248	262	31	1
186	263	31	1
193	263	31	1
198	263	31	1
211	263	31	1
223	263	31	1
226	263	31	2
228	263	31	1
236	263	31	1
240	263	31	1
184	264	31	1
185	264	31	1
190	264	31	4
194	264	31	1
195	264	31	1
199	264	31	1
209	264	31	1
215	264	31	1
216	264	31	1
217	264	31	1
218	264	31	1
228	264	31	1
231	264	31	1
232	264	31	1
234	264	31	1
237	264	31	1
245	264	31	1
246	264	31	2
248	264	31	1
249	264	31	1
192	265	31	1
194	265	31	1
196	265	31	3
213	265	31	2
214	265	31	1
223	265	31	1
226	265	31	1
229	265	31	1
235	265	31	1
240	265	31	1
193	266	31	1
198	266	31	2
212	266	31	1
217	266	31	1
220	266	31	2
231	266	31	1
233	266	31	1
236	266	31	1
246	266	31	5
251	266	31	1
177	267	31	1
182	267	31	1
183	267	31	2
186	267	31	1
192	267	31	1
196	267	31	1
211	267	31	1
216	267	31	1
229	267	31	1
231	267	31	3
232	267	31	3
233	267	31	2
242	267	31	2
244	267	31	2
245	267	31	1
248	267	31	2
184	268	31	1
195	268	31	1
197	268	31	1
215	268	31	1
219	268	31	1
220	268	31	1
222	268	31	1
224	268	31	1
225	268	31	2
238	268	31	1
240	268	31	1
245	268	31	2
247	268	31	1
173	269	31	1
183	269	31	1
199	269	31	1
204	269	31	1
213	269	31	1
232	269	31	1
243	269	31	2
252	269	31	2
173	270	31	1
180	270	31	3
185	270	31	1
194	270	31	1
196	270	31	1
212	270	31	1
231	270	31	1
239	270	31	1
247	270	31	1
171	271	31	2
172	271	31	1
177	271	31	1
182	271	31	2
185	271	31	1
204	271	31	1
209	271	31	3
213	271	31	1
214	271	31	2
232	271	31	2
233	271	31	1
235	271	31	1
237	271	31	1
238	271	31	3
240	271	31	1
247	271	31	4
249	271	31	1
183	272	31	1
184	272	31	1
185	272	31	2
203	272	31	1
205	272	31	1
206	272	31	1
211	272	31	2
214	272	31	2
216	272	31	1
218	272	31	1
225	272	31	1
227	272	31	1
230	272	31	2
232	272	31	1
238	272	31	1
249	272	31	1
176	273	31	1
207	273	31	1
209	273	31	1
210	273	31	1
211	273	31	1
212	273	31	2
236	273	31	1
237	273	31	2
249	273	31	1
250	273	31	1
175	274	31	1
180	274	31	1
182	274	31	1
210	274	31	1
232	274	31	1
236	274	31	1
237	274	31	1
239	274	31	2
243	274	31	1
244	274	31	1
206	275	31	2
229	275	31	1
236	275	31	1
237	275	31	1
239	275	31	1
241	275	31	2
250	275	31	1
176	276	31	1
184	276	31	1
198	276	31	2
233	276	31	1
236	276	31	1
237	276	31	1
241	276	31	1
252	276	31	1
204	277	31	1
205	277	31	1
233	277	31	1
234	277	31	2
237	277	31	1
239	277	31	1
240	277	31	1
241	277	31	1
244	277	31	1
249	277	31	1
180	278	31	1
203	278	31	2
204	278	31	1
208	278	31	1
237	278	31	2
238	278	31	2
245	278	31	2
246	278	31	1
247	278	31	2
175	279	31	1
180	279	31	1
206	279	31	1
207	279	31	1
216	279	31	1
219	279	31	1
234	279	31	1
235	279	31	1
242	279	31	1
247	279	31	1
176	280	31	1
181	280	31	1
205	280	31	1
