x	y	z	Signaling by NODAL
239	303	30	1
241	303	30	1
244	303	30	1
246	303	30	1
220	304	30	1
233	304	30	1
234	304	30	1
240	304	30	1
223	305	30	2
236	306	30	1
226	250	31	1
235	250	31	1
239	252	31	2
193	253	31	2
217	253	31	2
233	253	31	1
237	253	31	1
227	254	31	1
232	254	31	2
238	254	31	1
191	255	31	2
226	255	31	1
229	255	31	1
233	255	31	1
214	257	31	2
232	257	31	2
236	257	31	1
237	257	31	1
239	257	31	1
205	258	31	1
227	258	31	1
228	258	31	1
229	258	31	1
231	258	31	1
240	258	31	2
219	259	31	2
229	259	31	2
237	259	31	1
188	260	31	2
190	260	31	1
220	260	31	1
227	260	31	3
239	260	31	1
240	260	31	1
241	260	31	1
242	260	31	1
244	260	31	1
181	261	31	1
187	261	31	1
193	261	31	2
195	261	31	3
208	261	31	1
216	261	31	1
217	261	31	1
225	261	31	2
229	261	31	1
231	261	31	1
245	261	31	1
186	262	31	1
193	262	31	1
207	262	31	1
216	262	31	1
220	262	31	1
222	262	31	2
227	262	31	1
238	262	31	1
246	262	31	1
185	263	31	1
187	263	31	2
193	263	31	1
194	263	31	1
197	263	31	1
198	263	31	2
215	263	31	2
216	263	31	1
220	263	31	2
226	263	31	1
230	263	31	3
232	263	31	2
234	263	31	1
235	263	31	2
238	263	31	2
249	263	31	2
197	264	31	1
209	264	31	3
217	264	31	1
221	264	31	1
223	264	31	1
244	264	31	1
246	264	31	1
185	265	31	2
205	265	31	1
216	265	31	2
234	265	31	1
239	265	31	1
245	265	31	2
250	265	31	1
193	266	31	1
198	266	31	1
213	266	31	1
215	266	31	1
217	266	31	1
232	266	31	1
247	266	31	1
251	266	31	1
193	267	31	2
216	267	31	1
222	267	31	1
224	267	31	1
228	267	31	1
230	267	31	1
232	267	31	1
236	267	31	1
184	268	31	1
193	268	31	3
195	268	31	1
197	268	31	2
215	268	31	1
218	268	31	1
219	268	31	1
220	268	31	2
222	268	31	1
225	268	31	1
231	268	31	1
240	268	31	1
243	268	31	1
245	268	31	2
173	269	31	2
183	269	31	1
204	269	31	1
206	269	31	1
213	269	31	1
230	269	31	1
235	269	31	1
239	269	31	1
240	269	31	3
246	269	31	1
248	269	31	1
250	269	31	1
180	270	31	2
181	270	31	1
183	270	31	1
186	270	31	1
194	270	31	1
200	270	31	1
207	270	31	1
212	270	31	1
215	270	31	1
216	270	31	1
239	270	31	1
248	270	31	1
249	270	31	1
250	270	31	1
174	271	31	1
175	271	31	1
176	271	31	1
184	271	31	1
198	271	31	1
200	271	31	1
209	271	31	1
210	271	31	1
215	271	31	1
224	271	31	2
233	271	31	1
235	271	31	1
237	271	31	1
244	271	31	1
199	272	31	2
210	272	31	2
212	272	31	1
214	272	31	1
218	272	31	2
226	272	31	1
227	272	31	4
238	272	31	1
243	272	31	1
248	272	31	2
249	272	31	1
250	272	31	1
254	272	31	2
232	273	31	1
234	273	31	1
236	273	31	1
246	273	31	2
249	273	31	3
182	274	31	1
203	274	31	2
205	274	31	1
213	274	31	1
236	274	31	1
247	274	31	1
248	274	31	1
252	274	31	2
201	275	31	1
205	275	31	1
211	275	31	1
229	275	31	1
233	276	31	1
234	276	31	2
236	276	31	1
239	276	31	1
240	276	31	1
241	276	31	1
174	277	31	2
233	277	31	1
234	277	31	1
235	277	31	1
237	277	31	1
238	277	31	1
241	277	31	2
243	277	31	1
207	278	31	2
242	278	31	1
245	278	31	1
246	278	31	2
247	278	31	1
249	278	31	1
205	279	31	1
206	279	31	1
236	279	31	1
237	279	31	1
242	279	31	1
243	279	31	2
247	279	31	2
254	279	31	1
181	280	31	1
205	280	31	1
208	280	31	2
226	280	31	1
232	280	31	1
238	280	31	1
249	280	31	1
250	280	31	1
179	281	31	2
184	281	31	2
204	281	31	1
219	281	31	1
220	281	31	2
222	281	31	1
228	281	31	1
233	281	31	1
236	281	31	1
239	281	31	1
241	281	31	2
245	281	31	1
248	281	31	1
219	282	31	3
221	282	31	1
223	282	31	1
238	282	31	1
247	282	31	1
249	282	31	1
250	282	31	1
254	282	31	1
176	283	31	1
182	283	31	1
208	283	31	1
209	283	31	1
223	283	31	2
230	283	31	1
236	283	31	1
239	283	31	1
246	283	31	1
251	283	31	1
177	284	31	1
180	284	31	2
181	284	31	1
209	284	31	2
212	284	31	1
220	284	31	1
223	284	31	1
224	284	31	2
231	284	31	2
236	284	31	1
237	284	31	2
241	284	31	1
243	284	31	1
244	284	31	2
256	284	31	1
177	285	31	1
222	285	31	1
226	285	31	1
