x	y	z	Calmodulin induced events
235	301	30	3
240	301	30	1
246	301	30	1
247	301	30	1
248	301	30	1
229	302	30	2
236	302	30	1
238	302	30	1
239	302	30	1
217	303	30	1
241	303	30	1
235	304	30	1
237	304	30	1
238	304	30	1
242	305	30	1
240	306	30	1
224	250	31	1
226	252	31	1
217	253	31	3
227	254	31	1
229	254	31	1
231	254	31	2
238	254	31	1
191	255	31	2
195	255	31	1
226	255	31	1
229	255	31	2
230	255	31	1
235	255	31	1
236	255	31	2
240	255	31	1
215	256	31	1
216	256	31	1
233	256	31	2
177	257	31	1
202	257	31	1
215	257	31	1
216	257	31	1
237	257	31	1
239	257	31	1
240	257	31	1
190	258	31	1
228	258	31	1
229	258	31	1
230	258	31	1
235	258	31	1
188	259	31	1
206	259	31	2
229	259	31	1
191	260	31	1
212	260	31	1
218	260	31	1
221	260	31	1
231	260	31	1
234	260	31	2
238	260	31	1
242	260	31	1
188	261	31	1
213	261	31	1
224	261	31	2
227	261	31	1
234	261	31	1
239	261	31	1
244	261	31	1
245	261	31	1
194	262	31	1
207	262	31	2
210	262	31	1
218	262	31	2
220	262	31	1
222	262	31	1
225	262	31	1
233	262	31	1
238	262	31	1
248	262	31	1
249	262	31	1
185	263	31	1
186	263	31	1
198	263	31	1
200	263	31	1
211	263	31	1
217	263	31	1
220	263	31	1
234	263	31	1
236	263	31	2
244	263	31	2
245	263	31	1
190	264	31	1
195	264	31	1
197	264	31	1
209	264	31	2
220	264	31	1
226	264	31	1
232	264	31	1
237	264	31	1
240	264	31	1
244	264	31	1
248	264	31	1
185	265	31	1
186	265	31	1
194	265	31	1
200	265	31	1
216	265	31	1
222	265	31	1
223	265	31	1
193	266	31	1
194	266	31	1
197	266	31	1
211	266	31	2
215	266	31	1
229	266	31	1
243	266	31	1
248	266	31	1
216	267	31	1
222	267	31	2
233	267	31	1
235	267	31	3
237	267	31	1
238	267	31	1
242	267	31	1
198	268	31	1
210	268	31	1
224	268	31	1
232	268	31	1
234	268	31	1
241	268	31	1
242	268	31	1
244	268	31	1
245	268	31	1
184	269	31	1
193	269	31	1
210	269	31	2
215	269	31	2
235	269	31	1
238	269	31	2
239	269	31	1
240	269	31	1
243	269	31	1
246	269	31	1
247	269	31	1
250	269	31	1
252	269	31	1
178	270	31	1
185	270	31	2
194	270	31	1
196	270	31	2
207	270	31	1
231	270	31	1
234	270	31	1
249	270	31	1
178	271	31	2
200	271	31	1
203	271	31	1
212	271	31	1
214	271	31	1
233	271	31	1
238	271	31	1
241	271	31	1
249	271	31	1
176	272	31	2
199	272	31	1
206	272	31	1
214	272	31	1
241	272	31	1
212	273	31	1
250	273	31	3
203	274	31	2
210	274	31	1
211	274	31	1
214	274	31	1
225	274	31	1
229	274	31	1
236	274	31	2
240	274	31	3
205	275	31	1
211	275	31	1
237	275	31	1
241	275	31	1
244	275	31	1
250	275	31	1
198	276	31	1
236	276	31	1
241	276	31	1
244	276	31	2
204	277	31	1
235	277	31	1
236	277	31	1
240	277	31	1
241	277	31	1
244	277	31	1
247	277	31	1
203	278	31	1
208	278	31	1
243	278	31	2
245	278	31	1
205	279	31	1
207	279	31	1
219	279	31	1
234	279	31	1
253	279	31	1
254	279	31	1
175	280	31	1
232	280	31	1
235	280	31	1
238	280	31	1
251	280	31	1
233	281	31	1
244	281	31	1
248	281	31	1
251	281	31	1
254	281	31	1
175	282	31	2
178	282	31	2
221	282	31	1
232	282	31	2
233	282	31	3
235	282	31	1
238	282	31	2
240	282	31	1
246	282	31	1
249	282	31	2
254	282	31	2
182	283	31	1
184	283	31	1
209	283	31	2
233	283	31	1
234	283	31	1
241	283	31	1
244	283	31	2
251	283	31	1
175	284	31	2
176	284	31	1
179	284	31	1
180	284	31	1
206	284	31	1
209	284	31	1
212	284	31	1
235	284	31	1
254	284	31	1
257	284	31	1
178	285	31	1
183	285	31	1
220	285	31	1
226	285	31	1
235	285	31	1
236	285	31	1
238	285.5	31.5	2
220	286	31	2
222	286	31	1
224	286	31	1
225	286	31	1
237	286	31	1
238	286	31	1
187	287	31	1
221	287	31	1
224	287	31	1
226	287	31	1
236	287	31	1
240	287	31	1
255	287	31	1
186	288	31	2
222	288	31	1
223	288	31	1
225	288	31	1
228	288	31	1
244	288	31	1
249	288	31	1
205	289	31	1
221	289	31	1
227	289	31	1
231	289	31	1
233	289	31	1
235	289	31	1
237	289	31	1
238	289	31	1
240	289	31	1
246	289	31	2
252	289	31	1
221	290	31	1
225	290	31	1
235	290	31	1
246	290	31	2
250	290	31	1
199	291	31	1
229	291	31	1
230	291	31	1
247	291	31	2
248	291	31	1
249	291	31	1
197	292	31	1
198	292	31	1
231	292	31	1
236	292	31	1
238	292	31	1
247	292	31	1
250	292	31	1
252	292	31	1
253	292	31	1
256	292	31	2
232	293	31	1
243	293	31	1
251	293	31	1
256	293	31	1
230	294	31	1
232	294	31	1
237	294	31	1
240	294	31	1
241	294	31	1
246	294	31	2
251	294	31	1
221	295	31	2
223	295	31	1
226	295	31	1
229	295	31	1
240	295	31	1
247	295	31	1
248	295	31	1
249	295	31	1
257	295	31	1
215	296	31	1
223	296	31	1
224	296	31	1
228	296	31	2
234	296	31	1
246	296	31	1
247	296	31	1
253	296	31	1
195	297	31	1
224	297	31	1
231	297	31	1
235	297	31	1
242	297	31	1
246	297	31	1
229	298	31	1
250	298	31	1
221	299	31	1
229	299	31	1
236	299	31	1
237	299	31	1
240	299	31	1
245	299	31	2
246	299	31	1
230	300	31	1
